Time,Connectivity,Reachability
200.00,1,1.00
200.17,1,1.00
200.33,1,1.00
200.50,0,0.13
200.67,0,0.13
200.83,0,0.13
201.00,0,0.13
201.17,0,0.13
201.33,0,0.13
201.50,0,0.13
201.67,0,0.13
201.83,0,0.13
202.00,0,0.13
202.17,0,0.13
202.33,0,0.13
202.50,0,0.13
202.67,0,0.13
202.83,0,0.13
203.00,0,0.13
203.17,0,0.13
203.33,0,0.13
203.50,0,0.13
203.67,0,0.13
203.83,0,0.13
204.00,0,0.13
204.17,0,0.13
204.33,0,0.13
204.50,0,0.13
204.67,0,0.13
204.83,0,0.13
205.00,0,0.13
205.17,0,0.13
205.33,0,0.13
205.50,0,0.13
205.67,0,0.13
205.83,0,0.13
206.00,0,0.13
206.17,0,0.13
206.33,0,0.13
206.50,0,0.13
206.67,0,0.13
206.83,0,0.13
207.00,0,0.13
207.17,0,0.13
207.33,0,0.13
207.50,0,0.13
207.67,0,0.13
207.83,0,0.13
208.00,0,0.13
208.17,0,0.13
208.33,0,0.13
208.50,0,0.13
208.67,0,0.13
208.83,0,0.13
209.00,0,0.13
209.17,0,0.13
209.33,0,0.13
209.50,0,0.13
209.67,0,0.13
209.83,0,0.13
210.00,0,0.13
210.17,0,0.13
210.33,0,0.13
210.50,0,0.13
210.67,0,0.13
210.83,0,0.13
211.00,0,0.13
211.17,0,0.13
211.33,0,0.13
211.50,0,0.13
211.67,0,0.13
211.83,0,0.13
212.00,0,0.13
212.17,0,0.13
212.33,0,0.13
212.50,0,0.13
212.67,0,0.13
212.83,0,0.13
213.00,0,0.13
213.17,0,0.13
213.33,0,0.13
213.50,0,0.13
213.67,0,0.13
213.83,0,0.13
214.00,0,0.13
214.17,0,0.13
214.33,0,0.13
214.50,0,0.13
214.67,0,0.13
214.83,0,0.13
215.00,0,0.13
215.17,0,0.13
215.33,0,0.13
215.50,0,0.13
215.67,0,0.13
215.83,0,0.13
216.00,0,0.13
216.17,0,0.13
216.33,0,0.38
216.50,0,0.38
216.67,0,0.38
216.83,0,0.38
217.00,0,0.38
217.17,0,0.38
217.33,0,0.38
217.50,0,0.38
217.67,0,0.38
217.83,0,0.38
218.00,0,0.38
218.17,0,0.38
218.33,0,0.38
218.50,0,0.38
218.67,0,0.38
218.83,0,0.38
219.00,0,0.38
219.17,0,0.38
219.33,0,0.38
219.50,0,0.38
219.67,0,0.64
219.83,1,1.00
220.00,1,1.00
220.00,1,1.00
220.17,1,1.00
220.33,0,0.53
220.50,0,0.22
220.67,0,0.22
220.83,0,0.18
221.00,0,0.18
221.17,0,0.18
